text;ref;nbg;datei;autor;subjekt;subjekt_type;kommentar_1;q_subjekt;subjekt_ref;prädikat;p_wert;p_ref;objekt;objekt_type;q_objekt;objekt_ref;zeit;q_zeit;kommentar_2;reihenfolge;lat;lon
Daher reiste ich mit dem Bruder Baumeister der damals als Prediger in Taubenheim im Amte stand im Jahr 1777 dahin.;https://collections-mun-ca/digital/collection/nachrichten/id/23017/rec/11;NBG 1820;1820_schulz_Johann_Gottlieb-xml;Johann Gottfried schulz;Br. Baumeister;person;;Q114056537;https://www-wikidata-org/wiki/Q114056537;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Prediger;tätigkeit;Q432386;https://www-wikidata-org/wiki/Q432386;1777;P585;;03-025;;
"Ich gewohnte im Brüderhause bald ein, bekam den Auftrag im Pädagogio und in der Knäbchen Anstalt alle Tage einige stunden in der Baukunst und in Handzeichnungen Unterricht zu geben; an welche Zeit ich noch mit Vergnügen gedenke.";https://collections-mun-ca/digital/collection/nachrichten/id/23017/rec/11;NBG 1820;1820_schulz_Johann_Gottlieb-xml;Johann Gottfried schulz;Johann Gottfried Schulz;person;;Q130902239;https://www-wikidata-org/wiki/Q130902239;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehre in Baukunst und in Handzeichnungen;tätigkeit;Q352842;https://www-wikidata-org/wiki/Q352842;;;;03-029;;
"Den 14ten October 1794 traf er hier an dem ihm bestimmten Ruheort ein wie er bemerkt ; dankbar und vergnügt wieder in einer Gemeine die schönen Gottesdienste ununterbrochen genießen zu können Anfangs hielt er einige Vorlesungen im seminario über die bärgerliche Baukunst; seine zunehmende Kränklichkeit ndthigte ihn aber bald sie aufzugeben: Nun hatte er und feine Frau eine lange Prüfungszeit durch schwere Körperleiden gegen welche der wiederholte Gebrauch des Töplizer Bades nur wenig vermochte un.";https://collections-mun-ca/digital/collection/nachrichten/id/23017/rec/11;NBG 1820;1820_schulz_Johann_Gottlieb-xml;Johann Gottfried schulz;Johann Gottfried Schulz;person;;Q130902239;https://www-wikidata-org/wiki/Q130902239;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Vorlesungen im seminario über die bärgerliche Baukunst;tätigkeit;Q352842;https://www-wikidata-org/wiki/Q352842;1794;P585;;03-037;;
Von 1792 bis 1795 war ich bei den großern Knaben als stubenaufseber angestellt.;https://collections-mun-ca/digital/collection/nachrichten/id/43965/rec/171;NBG 1847;1847_schmitt_J_H 11-08-18-xml;Johann Heinrich schmitt;Johann Heinrich Schmitt;person;;Q123456921;https://www-wikidata-org/wiki/Q123456921;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;stubenaufseber;tätigkeit;Q135899048;https://www-wikidata-org/wiki/Q135899048;1792 bis 1795;P580 bis P582;;04-015;;
Mit regem Eifer begann ich die mir zum Theil noch ungewohnten mir obliegenden Arbeiten und verbrachte die zwei Jahre 1798 und 1799 froh und selig im räglichen Genuß der Nähe Jesu.;https://collections-mun-ca/digital/collection/nachrichten/id/43965/rec/171;NBG 1847;1847_schmitt_J_H 11-08-18-xml;Johann Heinrich schmitt;Johann Heinrich Schmitt;person;;Q123456921;https://www-wikidata-org/wiki/Q123456921;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Missionar;tätigkeit;Q219477;https://www-wikidata-org/wiki/Q219477;1798 bis 1799;P580 bis P582;;04-051;;
Einige Tage nach unfrer Ankunft trafen auch die zum Dienst bei der Mission unter den Hottentotten berufenen Geschwister Küster aus Deutschland in London ein und es gereichre mir zu besonderem Vergnügen mit meinem alten Freund Bruder Küster nicht blos jeßt so unverhostt zusammen zu treffen sondern auch in seiner Gesellschaft die Reife nach sud.Afrika machen und mit ibm zugleich dem Heiland unter den Pottenterten dienen zu können.;https://collections-mun-ca/digital/collection/nachrichten/id/43965/rec/171;NBG 1847;1847_schmitt_J_H 11-08-18-xml;Johann Heinrich schmitt;Johann Heinrich Schmitt;person;;Q123456921;https://www-wikidata-org/wiki/Q123456921;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Mission unter den Hottentotten;organisation;Q20746152;https://www-wikidata-org/wiki/Q20746152;;;;04-065;;
Jm tiefen Gefühl meiner Unwürdigkeit und meines Unvermögens erbat ich mie ganz befonders noch seinen Gnadenbeistand und die Leitung seines heiligen Geistes als ich am 18. Januar durch den Bischof Thomas Moore zu einem Diakonus der Brüder.Kirche geweiht wurde.;https://collections-mun-ca/digital/collection/nachrichten/id/43965/rec/171;NBG 1847;1847_schmitt_J_H 11-08-18-xml;Johann Heinrich schmitt;Johann Heinrich Schmitt;person;;Q123456921;https://www-wikidata-org/wiki/Q123456921;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Diakonus der Brüder-Kirche;tätigkeit;Q161944;https://www-wikidata-org/wiki/Q161944;18-01-;P585;;04-072;;
Dieser Besuch gereichte mir zum bleibenden segen: denn ich machte daselbst eine mir sehr angenehme Bekanntschaft mit zwei Brüdern: dem Br.Christian Friedrich Richter welcher viele Jahre lang ein treuer und gesegneter Diener unsers Herrn auf Antigua gewesen ist und mit dem Br. Joh. Heinrich schmitt welcher ebenfalls als Missionar zuerst in Labrador und dann in südAfrika dem Heiland mit Treue gedient hat.;https://collections-mun-ca/digital/collection/nachrichten/id/19859/rec/104;NBG 1836;1836_Küster_Johann_Adolph-xml;Johann Adolph Küster;Johann Heinrich Schmitt;person;;Q123456921;https://www-wikidata-org/wiki/Q123456921;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Missionar;tätigkeit;Q219477;https://www-wikidata-org/wiki/Q219477;;;;05-019;;
"Man wies mir deshalb Arbeit in der Küche an; aber auch da blieb ich nicht lange: denn es war ein stuhl in der Weberei leer geworden auf den ich mich nun feßte.";https://collections-mun-ca/digital/collection/nachrichten/id/19859/rec/104;NBG 1836;1836_Küster_Johann_Adolph-xml;Johann Adolph Küster;Johann Adolph Küster;person;;Q122707229;https://www-wikidata-org/wiki/Q122707229;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Küche;tätigkeit;Q43164;https://www-wikidata-org/wiki/Q43164;;;;05-028;;
"Man wies mir deshalb Arbeit in der Küche an; aber auch da blieb ich nicht lange: denn es war ein stuhl in der Weberei leer geworden auf den ich mich nun feßte.";https://collections-mun-ca/digital/collection/nachrichten/id/19859/rec/104;NBG 1836;1836_Küster_Johann_Adolph-xml;Johann Adolph Küster;Johann Adolph Küster;person;;Q122707229;https://www-wikidata-org/wiki/Q122707229;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Weberei;organisation;Q192296;https://www-wikidata-org/wiki/Q192296;;;;05-028;;
Im Jahr 1798 wurde ich in der Kleinwelker Knäbcenanstalt bei den kleinsten Kindern als Lehrer angestellt bei welchem Geschäft ich manche Freuden aber auch manche Leiden zu erfahren hatte.;https://collections-mun-ca/digital/collection/nachrichten/id/19859/rec/104;NBG 1836;1836_Küster_Johann_Adolph-xml;Johann Adolph Küster;Johann Adolph Küster;person;;Q122707229;https://www-wikidata-org/wiki/Q122707229;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehrer;tätigkeit;Q37226;https://www-wikidata-org/wiki/Q37226;1798;P585;;05-034;;
Mein dasiger Aufenthalt war aber von kurzer Dauer: denn schon im september 1802 erhielt ich einen Ruf als Pfleger der ledigen Brüder in Christiansfeld welchen ich im Vertrauen auf die Durchhülfe des Heilandes auch annahm.;https://collections-mun-ca/digital/collection/nachrichten/id/19859/rec/104;NBG 1836;1836_Küster_Johann_Adolph-xml;Johann Adolph Küster;Johann Adolph Küster;person;;Q122707229;https://www-wikidata-org/wiki/Q122707229;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Pfleger des ledigen Brüderchores;tätigkeit;Q186360;https://www-wikidata-org/wiki/Q186360;09-1802;P585;;05-038;;
Unser lieber am 12 Juli 1856 selig vollendeter Bruder Johannes Fritsch hat von seiner beinahe 79jährigen Wallfahrt durch diefes Leben zwar keinen vollständigen eigenhändigen Lebenslauf hinter lassen, aber doch einen ausführlichen Aufsaß über den Gang seines inneren Lebens, seit er zur Germeine gekommen, bis zu feiner Berufung zum Missionsdienft, und ein sehr genau geführtes Tagebuch über seine Reise von Gnadenfrei nach der Cap während der Continental.sperre.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Missionar;tätigkeit;Q219477;https://www-wikidata-org/wiki/Q219477;;;;06-002;;
Mit 25 Jahren wurde ich als Meister in ber Brüderhaus.Weberei angestellt.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Meister;tätigkeit;Q2309621;https://www-wikidata-org/wiki/Q2309621;1801;P585;;06-011;;
Im Jahr 1840 erhielt er einen Ruf als Brüderpfleger und Mitprediger in Neusalz, und da Bruder Kohlmeister, welcher die Diaspora in der dortigen Umgegend zu bedienen hatte, bei seinem hohen Alter die Besuche nicht mehr, oder doch nur seiten zu machen im stande war, wurde ihm auch dieser Auftrag zuertheilt.;https://collections-mun-ca/digital/collection/nachrichten/id/72097/rec/195;NBG 1860;1860_suhl_D_W-xml;Daniel Wilhelm suhl;Daniel Wilhelm Suhl;person;;Q123456940;https://www-wikidata-org/wiki/Q123456940;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Brüderpfleger und Mitprediger in Neusalz;tätigkeit;Q186360;https://www-wikidata-org/wiki/Q186360;1840;P585;;06-018;;
Bruder Wollin hatte gemeldet, daß ich auf dem Passe als Pastor eingeschrieben sei, Bruder schulz als schmidt.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Pastor;tätigkeit;Q152002;https://www-wikidata-org/wiki/Q152002;;;;06-065;;
Bruder Wollin hatte gemeldet, daß ich auf dem Passe als Pastor eingeschrieben sei, Bruder schulz als schmidt.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johann Gottfried Schulz;person;;Q130902239;https://www-wikidata-org/wiki/Q130902239;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Schmied;tätigkeit;Q1639825;https://www-wikidata-org/wiki/Q1639825;;;;06-065;;
Am 24 April 1811 trug mir Bruder Küster die orste Kinderstunde auf.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Leiter der ersten Kinderstunde;tätigkeit;Q1162163;https://www-wikidata-org/wiki/Q1162163;24-04-1811;P585;;06-068;;
"Im Januar 1812 übergab mir Br. Marsveld die Mühle; da sann ich Tag und Nacht auf Verbesserungen, bis ich es so weit gebracht hatte, daß ich nimt nur alles Mehl für uns mahlen konnte, fondern aud das der Hottentotte.";https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Mühle;organisation;Q44494;https://www-wikidata-org/wiki/Q44494;01-1812;P585;;06-069;;
Am 20 März 1815 erhielt ich in Gnadenthal, wo ich mich für einige Zeit aufhielt, um Bruder swin im Garten und bei der Weinlese zur Hülfe zu fein, die Nachricht, daß Geschwister Beinbrecht mit den beiden led.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Garten und bei der Weinlese;tätigkeit;Q897317;https://www-wikidata-org/wiki/Q897317;20-03-1815;P585;;06-071;;
Im Jahr 1818 am 31 Juni kamen wir in Gnadenthal an, wohin ich einen Ruf erhalten hatte, um die Mädchenschule und die Mühle daselbst zu übernehmen.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Mädchenschule;organisation;Q22713629;https://www-wikidata-org/wiki/Q22713629;1818;P585;;06-085;;
Im Jahr 1818 am 31 Juni kamen wir in Gnadenthal an, wohin ich einen Ruf erhalten hatte, um die Mädchenschule und die Mühle daselbst zu übernehmen.;https://collections-mun-ca/digital/collection/nachrichten/id/51042/rec/194;NBG 1859;1859_Fritsch_Johannes-xml;Johannes Fritsch;Johannes Fritsch;person;;Q123396697;https://www-wikidata-org/wiki/Q123396697;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Mühle;organisation;Q44494;https://www-wikidata-org/wiki/Q44494;1818;P585;;06-085;;
Er war geboren den 4 september 1803 in Neuwied , wo fein Vater, Friedrich Ludwig Kölebing, Inspector der dortigen Knaben.Anstalt war.;https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Inspector der dortigen Knaben-Anstalt;tätigkeit;Q511138;https://www-wikidata-org/wiki/Q511138;;;;07-004;;
Als dieser einen Ruf nach Nisky als Inspector der dort combinirten Unitäts . Anstalten im Jahr 1808 erhielt, begleitete er seine Eltern dorthin, wobei er unterwegs heftig an der Ruhr erkrankte.;https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Inspector der dort combinirten Unitäts - Anstalten;tätigkeit;Q511138;https://www-wikidata-org/wiki/Q511138;1808;P585;;07-007;;
"Nach vollendeten studien im seminarium trat er im Jahr 1824 als Lehrer in die Niskosche.Anstalt ein, und ein Jahr nachher von da in das Pädagogium; und von da wurde er im Jahr 1832 als Lehrer an das seminarium berufen.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Lehrer;tätigkeit;Q37226;https://www-wikidata-org/wiki/Q37226;1832;P585;;07-021;;
"Nach vollendeten studien im seminarium trat er im Jahr 1824 als Lehrer in die Niskosche.Anstalt ein, und ein Jahr nachher von da in das Pädagogium; und von da wurde er im Jahr 1832 als Lehrer an das seminarium berufen.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Pädagogium;organisation;Q2120288;https://www-wikidata-org/wiki/Q2120288;1825;P585;;07-021;;
"Nach vollendeten studien im seminarium trat er im Jahr 1824 als Lehrer in die Niskosche.Anstalt ein, und ein Jahr nachher von da in das Pädagogium; und von da wurde er im Jahr 1832 als Lehrer an das seminarium berufen.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Seminarium;organisation;Q233324;https://www-wikidata-org/wiki/Q233324;1832;P585;;07-021;;
"Von dem andern Theile seiner Thätigkeit, der Erbauung der Gemeine auf dem saal und in der seelenpflege, indem er mit feiner Thätigkeit am seminariun in Gnadenfeld auch die Pflege des ledigen Brüderchores daselbst übernahm, sagt er selbst damals: „Die öffentlichen Vorträge find mir schwer geworden und kosten mich jetzt noch viele Mühe; aber dennoch sind sie mir lieb.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Pfleger des ledigen Brüderchores;tätigkeit;Q186360;https://www-wikidata-org/wiki/Q186360;;;;07-025;;
"Von dem andern Theile seiner Thätigkeit, der Erbauung der Gemeine auf dem saal und in der seelenpflege, indem er mit feiner Thätigkeit am seminariun in Gnadenfeld auch die Pflege des ledigen Brüderchores daselbst übernahm, sagt er selbst damals: „Die öffentlichen Vorträge find mir schwer geworden und kosten mich jetzt noch viele Mühe; aber dennoch sind sie mir lieb.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Seminariun in Gnadenfeld;organisation;Q233324;https://www-wikidata-org/wiki/Q233324;;;;07-025;;
Er wurde im Jahr 1838 zum Inspector des seminariums berufen, und indem mit diefem Ruf seine Verheirathung zusammen hing, so trat er am 14 Juni in die Ehe mit der ledigen schwester Auguste Plitt, seiner nunmehr hinterlassenen Wirtwe.;https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Inspector des seminariums;tätigkeit;Q511138;https://www-wikidata-org/wiki/Q511138;1838;P585;;07-028;;
Dazu kam im Jahr 1841 die Erweckung im Pädagogium zu Nisky, die für ihn eine neue Anregung war, dem Geiste Gottes bei feiner Arbeir nichts zu verderben und den hungrigen seelen die rechte Nahrung zu bieten, und endlich im Jahr 1844 eine sehr erastliche Krankheit, — ein Nervenfieber in weicher der beilige Geist eine so gründliche aber auch selige schule mit ihm gehalten harte, daß er nachher nicht Worte genug finden konnte, dies auszusprechen.;https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Pädagogium;organisation;Q2120288;https://www-wikidata-org/wiki/Q2120288;1841;P585;;07-034;;
"Nun wurde ihm auch das Zeugen von dem Herrn immer mehr ein theurer Beruf; es erschlossen sich ihm selbst bei der Auslegung des Gortes Wortes immer mehr die schäke der götrlichen Wahrheit ; und er nahm daber, so Lieb ihm auch seine bisherige Thätigkeit am seminarium gewefen war, doch mit Freuden den Ruf an, der ihn im Jahr 1846 von da nach Kleinwelke abries zu Bedienung der dortigen Gemeine als ihr Gemeinhelfer und Prediger.";https://collections-mun-ca/digital/collection/nachrichten/id/73981/rec/186;NBG 1851;1851_Kölbing_Friedrich-xml;Friedrich Wilhelm Kölbing;Friedrich Wilhelm Kölbing;person;;Q21517694;https://www-wikidata-org/wiki/Q21517694;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Gemeinhelfer und Prediger;tätigkeit;Q432386;https://www-wikidata-org/wiki/Q432386;1846;P585;;07-035;;
Herr Plouequet übernahm nun die Handlung meiner Herrschaft, und da er noch unverheirathet war, besorgte ich seine Wirthschaft als Haushälterin.;https://collections-mun-ca/digital/collection/nachrichten/id/73619/rec/197;NBG 1862;1862_schulz_J_B-xml;Juliana Barbara Schulz (Mackh);Juliana Barbara Schulz;person;;Q124744576;https://www-wikidata-org/wiki/Q124744576;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Haushälterin;tätigkeit;Q2596569;https://www-wikidata-org/wiki/Q2596569;;;;08-013;;
Am 20 April 1836 wurde mir durch den Brüderpfleger, Bruder Wullschlägel, der Antrag übers reicht, dem Herrn auf der Mission in Dänisch. Westindien zu dienen.;https://collections-mun-ca/digital/collection/nachrichten/id/2397/rec/224;NBG 1889;1889_Wedemann_J_F-xml;Johann Friedrich Wedemann;Johann Friedrich Wedemann;person;;Q123463682;https://www-wikidata-org/wiki/Q123463682;Tätigkeit;P106;https://www-wikidata-org/wiki/Property:P106;Mission in Dänisch- Westindien;organisation;Q20746152;https://www-wikidata-org/wiki/Q20746152;20-04-1836;P585;;11-020;;
